District,Candidate,Party,Net receipts,INCUMBENCY,Previously held by,Absolute difference
TX-34,Vicente Gonzalez*,D,1513030.0,Incumbent,D,352517.5800000001
TX-34,Mayra Flores,R,1160512.42,Not an Incumbent,D,352517.5800000001
OH-9,Marcy Kaptur*,D,1691383.0,Incumbent,D,1135244.0
OH-9,Josh Williams,R,556139.0,Not an Incumbent,D,1135244.0
OH-1,Greg Landsman*,D,1809034.39,Incumbent,D,1209330.39
OH-1,Eric Conroy,R,599704.0,Not an Incumbent,D,1209330.39
WA-3,Marie Perez*,D,3145377.61,Incumbent,D,2308249.61
WA-3,John Braun,R,837128.0,Not an Incumbent,D,2308249.61
CA-48,Brandon Riker,D,1520650.46,Not an Incumbent,R,88947.07000000007
CA-48,Darrell Issa*,R,1431703.39,Incumbent,R,88947.07000000007
CO-8,Manny Rutinel,D,2481539.84,Not an Incumbent,R,512750.9500000002
CO-8,Timothy Evans*,R,2994290.79,Incumbent,R,512750.9500000002
NY-17,Peter Chatzky,D,5801509.0,Not an Incumbent,R,663989.7199999997
NY-17,Mike Lawler*,R,5137519.28,Incumbent,R,663989.7199999997
PA-10,Janelle Stelson,D,2185236.05,Not an Incumbent,R,686453.98
PA-10,Scott Perry*,R,2871690.03,Incumbent,R,686453.98
AZ-6,Joanna Mendoza,D,2886764.0,Not an Incumbent,R,1004574.0699999998
AZ-6,Juan Ciscomani*,R,3891338.07,Incumbent,R,1004574.0699999998
AZ-1,Jonathan Treble,D,2078343.0,Not an Incumbent,R,1027080.0
AZ-1,Thomas Feely,R,1051263.0,Not an Incumbent,R,1027080.0
IA-1,Christina Bohannan,D,2961456.01,Not an Incumbent,R,1154389.9500000002
IA-1,Mariannette Miller-Meeks*,R,4115845.96,Incumbent,R,1154389.9500000002
IA-3,Sarah Trone Garriott,D,1384159.67,Not an Incumbent,R,1229851.1
IA-3,Zach Nunn*,R,2614010.77,Incumbent,R,1229851.1
NJ-7,Rebecca Bennett,D,1940198.09,Not an Incumbent,R,1277341.22
NJ-7,Tom Kean*,R,3217539.31,Incumbent,R,1277341.22
PA-7,Ryan Crosswell,D,1131097.85,Not an Incumbent,R,1413160.98
PA-7,Ryan Mackenzie*,R,2544258.83,Incumbent,R,1413160.98
MI-7,Bridget Brink,D,1639079.88,Not an Incumbent,R,2103976.12
MI-7,Tom Barrett*,R,3743056.0,Incumbent,R,2103976.12
CA-22,Randy Villegas,D,872779.0,Not an Incumbent,R,2161008.0
CA-22,David Valadao*,R,3033787.0,Incumbent,R,2161008.0
VA-2,Elaine Luria,D,1126427.0,Not an Incumbent,R,2424017.88
VA-2,Jen Kiggans*,R,3550444.88,Incumbent,R,2424017.88
WI-3,Emily Berge,D,388034.0,Not an Incumbent,R,3880085.0
WI-3,Derrick Van Orden*,R,4268119.0,Incumbent,R,3880085.0
